index,prob_p1,is_p1,prob_pt
9,0.531832979785035,TRUE,0.531832979785035
3,0.02934545019339259,FALSE,0.3602061328886107
13,0.17905509233790518,FALSE,0.2170364755610975
7,0.04434110400872586,FALSE,0.3190630429855709
16,0.5539135194307612,FALSE,0.6989247311827946
15,0.03007518796992482,FALSE,1
5,0.1835489503995525,TRUE,0.1835489503995525
11,1.4691969736641138e-6,FALSE,0.7431289640591962
6,0.35374033009216727,FALSE,0.39653564290473053
15,0.8214285714285697,TRUE,0.8214285714285697
8,0.028925517308933352,FALSE,0.08837321077697237
13,0.006166982922201145,FALSE,0.01989945538332634
10,0.009219566163217932,FALSE,0.67529411764706
7,0.1231543865099751,FALSE,1
19,0.5000000000000001,FALSE,0.8666666666666668
7,0.02874706265612712,TRUE,0.02874706265612712
4,0.33532225067845517,FALSE,0.8510638297872314
15,0.01173602961090546,FALSE,0.6207055660878882
5,0.016794196856527544,FALSE,0.8400000000000009
18,0.8571428571428565,FALSE,1
18,0.9629629629629631,TRUE,0.9629629629629631
2,0.060120941615766706,FALSE,0.5935772856988019
11,0.004135152329115705,FALSE,0.17905509233790518
20,0,FALSE,0.8000000000000002
6,0.011582110407342144,FALSE,0.6377069133398247
18,0,FALSE,1
5,0.4506086851190128,TRUE,0.4506086851190128
14,9.269558769002602e-5,FALSE,0.36534701857282503
15,0.8484848484848476,TRUE,0.8484848484848476
3,0.6129330667542022,TRUE,0.6129330667542022
4,0.06335490982117953,FALSE,1
5,0.0786533543617535,FALSE,0.42851432378414334
18,0.23247863247863249,FALSE,1
13,0.2457672697545341,FALSE,1
10,0.008771932579504363,FALSE,0.30460371147046555
11,0.018930259950468174,FALSE,1
5,0.853932584269666,TRUE,0.853932584269666
16,9.80905689841544e-8,FALSE,0.7471264367816096
2,0.7077267637177981,TRUE,0.7077267637177981
7,0.1504276609621135,FALSE,0.864197530864199
